Year,Version,Period,Entity,CostCentre,RevenueMeasure,Value
FY2026-27,Budget,Mar,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Apr,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,May,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,May,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,May,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,May,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Billable Hours,1400
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Charge Rate,410
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2026-27,Budget,Jun,CivilCo,Drill and Blast,Fuel Litres,26000
FY2026-27,Budget,Jul,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Jul,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Jul,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Jul,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Aug,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Aug,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Aug,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Aug,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Sep,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Sep,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Sep,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Sep,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Oct,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Oct,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Oct,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Oct,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Nov,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Nov,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Nov,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Nov,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Dec,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Dec,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Dec,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Dec,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Jan,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Jan,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Jan,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Jan,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Feb,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Feb,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Feb,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Feb,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Mar,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Mar,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Mar,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Mar,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Apr,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Apr,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Apr,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Apr,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,May,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,May,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,May,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,May,HaulCo,Haulage,Fuel Litres,210000
FY2026-27,Budget,Jun,HaulCo,Haulage,Billable Hours,7800
FY2026-27,Budget,Jun,HaulCo,Haulage,Charge Rate,255
FY2026-27,Budget,Jun,HaulCo,Haulage,Plant Hire Revenue Amount,120000
FY2026-27,Budget,Jun,HaulCo,Haulage,Fuel Litres,210000
FY2025-26,Actual,Jul,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Jul,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Jul,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Jul,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Aug,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Aug,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Aug,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Aug,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Sep,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Sep,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Sep,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Sep,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Oct,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Oct,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Oct,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Oct,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Nov,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Nov,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Nov,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Nov,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Dec,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Dec,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Dec,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Dec,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Jan,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Jan,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Jan,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Jan,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Feb,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Feb,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Feb,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Feb,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Mar,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Mar,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Mar,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Mar,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Apr,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Apr,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Apr,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Apr,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,May,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,May,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,May,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,May,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Jun,CivilCo,Earthworks,Billable Hours,4888
FY2025-26,Actual,Jun,CivilCo,Earthworks,Charge Rate,295
FY2025-26,Actual,Jun,CivilCo,Earthworks,Plant Hire Revenue Amount,169200
FY2025-26,Actual,Jun,CivilCo,Earthworks,Fuel Litres,82720
FY2025-26,Actual,Jul,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Jul,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Jul,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Jul,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Aug,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Aug,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Aug,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Aug,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Sep,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Sep,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Sep,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Sep,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Oct,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Oct,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Oct,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Oct,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Nov,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Nov,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Nov,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Nov,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Dec,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Dec,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Dec,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Dec,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Jan,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Jan,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Jan,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Jan,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Feb,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Feb,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Feb,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Feb,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Mar,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Mar,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Mar,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Mar,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Apr,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Apr,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Apr,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Apr,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,May,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,May,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,May,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,May,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Jun,CivilCo,Drill and Blast,Billable Hours,1316
FY2025-26,Actual,Jun,CivilCo,Drill and Blast,Charge Rate,410
FY2025-26,Actual,Jun,CivilCo,Drill and Blast,Plant Hire Revenue Amount,0
FY2025-26,Actual,Jun,CivilCo,Drill and Blast,Fuel Litres,24440
FY2025-26,Actual,Jul,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Jul,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Jul,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Jul,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Aug,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Aug,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Aug,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Aug,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Sep,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Sep,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Sep,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Sep,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Oct,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Oct,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Oct,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Oct,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Nov,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Nov,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Nov,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Nov,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Dec,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Dec,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Dec,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Dec,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Jan,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Jan,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Jan,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Jan,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Feb,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Feb,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Feb,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Feb,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Mar,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Mar,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Mar,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Mar,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Apr,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Apr,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Apr,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Apr,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,May,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,May,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,May,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,May,HaulCo,Haulage,Fuel Litres,197400
FY2025-26,Actual,Jun,HaulCo,Haulage,Billable Hours,7332
FY2025-26,Actual,Jun,HaulCo,Haulage,Charge Rate,255
FY2025-26,Actual,Jun,HaulCo,Haulage,Plant Hire Revenue Amount,112800
FY2025-26,Actual,Jun,HaulCo,Haulage,Fuel Litres,197400
